pid,pid,country,pname,brand,price
B01BTZFU2C,B01BTZFU2C,de,"Samsung Galaxy S7 EDGE Smartphone 13,9 cm wei?",Samsung,535.0
B01LSUZ5UU,B01LSUZ5UU,de,"Apple iPhone 7 Smartphone 4,7 Zoll jet schwarz",Apple,739.0
B01LSUYLVE,B01LSUYLVE,de,"Apple iPhone 7 Smartphone 4,7 Zoll silber",Apple,755.0
B01LSUZC1C,B01LSUZC1C,de,"Apple iPhone 7 Smartphone 4,7 Zoll rose-gold",Apple,747.0
B01LSUZ8KW,B01LSUZ8KW,de,"Apple iPhone 7 Smartphone 4,7 Zoll rose-gold",Apple,663.0
B01LSUYIT4,B01LSUYIT4,de,"Apple iPhone 7 Smartphone 4,7 Zoll silber",Apple,659.0
B01N04X63A,B01N04X63A,de,"Huawei Mate 9 5,9 Zoll, silber",Huawei,599.9
B01LSUZMAS,B01LSUZMAS,de,"Apple iPhone 7 Smartphone 4,7 Zoll gold",Apple,750.0
B01L34I7LA,B01L34I7LA,de,"Sony Xperia XZ Smartphone 5,2 Zoll Mineral Black",Sony,490.0
B00NGOCZ3C,B00NGOCZ3C,de,Apple iPhone 6 mit 64 GB,Apple,
B01LSUZDWU,B01LSUZDWU,de,"Apple iPhone 7 plus Smartphone 5,5 Zoll matt-schwarz",Apple,879.0
B00NGOCJ74,B00NGOCJ74,de,"Apple iPhone 6 Smartphone 11,9 cm grau",Apple,549.0
B01FFM09AI,B01FFM09AI,de,"CAT 77333 S60 Outdoor Smartphone 4,7 Zoll schwarz",Caterpillar,539.0
B01GIK2S2I,B01GIK2S2I,de,"Samsung Galaxy S7 EDGE Smartphone 13,9 cm pink",Samsung,597.9
B01LSUZJBA,B01LSUZJBA,de,"Apple iPhone 7 Smartphone 4,7 Zoll gold",Apple,654.95
B01L34I7JW,B01L34I7JW,de,"Sony Xperia XZ Smartphone 5,2 Zoll Platinum",Sony,501.0
B00NGOCP64,B00NGOCP64,de,"Apple iPhone 6 Smartphone 11,9 cm silber",Apple,499.0
B01LSUZHGC,B01LSUZHGC,de,"Apple iPhone 7 plus Smartphone 5,5 Zoll jet schwarz",Apple,872.0
B00NGOD752,B00NGOD752,de,"Apple iPhone 6 Smartphone 11,9 cm gold",Apple,
