pid,country,pname,brand,price
028416321X,de,Bot Check,Bot,
028444765X,de,Bot Check,Bot,
284162043,de,Bot Check,Bot,
284162051,de,Bot Check,Bot,
284163163,de,Bot Check,Bot,
284163244,de,Bot Check,Bot,
284163252,de,Bot Check,Bot,
284164119,de,Bot Check,Bot,
284164305,de,Bot Check,Bot,
284164313,de,Bot Check,Bot,
284164372,de,Bot Check,Bot,
284164380,de,Bot Check,Bot,
284164399,de,Bot Check,Bot,
284164771,de,Bot Check,Bot,
284165379,de,Bot Check,Bot,
284443476,de,Bot Check,Bot,
284445363,de,Bot Check,Bot,
284445460,de,Bot Check,Bot,
284445479,de,Bot Check,Bot,
284445495,de,Bot Check,Bot,
284445746,de,Bot Check,Bot,
284445754,de,Bot Check,Bot,
284445762,de,Bot Check,Bot,
284445800,de,Bot Check,Bot,
284445819,de,Bot Check,Bot,
284445827,de,Bot Check,Bot,
284445967,de,Bot Check,Bot,
284445975,de,Bot Check,Bot,
284446114,de,Bot Check,Bot,
284446122,de,Bot Check,Bot,
284446130,de,Bot Check,Bot,
284446378,de,Bot Check,Bot,
284446386,de,Bot Check,Bot,
284446394,de,Bot Check,Bot,
284446475,de,Bot Check,Bot,
B00004YV47,de,Bot Check,Bot,
B00004YV4C,de,Bot Check,Bot,
B00005KBGU,de,Bot Check,Bot,
B00005LEJP,de,Bot Check,Bot,
B00005LJ3D,de,Bot Check,Bot,
B00005NUHC,de,Bot Check,Bot,
B00005UUZH,de,Nokia 6510 Handy,Microsoft,
B00005Y4BF,de,Bot Check,Bot,
B00005Y4BJ,de,Bot Check,Bot,
B0000665KT,de,Bot Check,Bot,
B0000665KW,de,Bot Check,Bot,
B0000665KY,de,Bot Check,Bot,
B0000665L0,de,Nokia 8910 Handy titanium schwarz,Microsoft,
B0000665L1,de,Bot Check,Bot,
B00006BMO1,de,Bot Check,Bot,
B00006CJJZ,de,Bot Check,Bot,
B00007148P,de,Bot Check,Bot,
B00008AOJZ,de,Bot Check,Bot,
B00008AOL5,de,Bot Check,Bot,
B00008AOME,de,Bot Check,Bot,
B0000AL6QU,de,Bot Check,Bot,
B0000C76SJ,de,Nokia 8310 dark Handy,Microsoft,
B000122D4I,de,Bot Check,Bot,
B000122X9I,de,Nokia 6310 Telefon mobil DualBand GSM 900,Microsoft,499.99
B00013PRP4,de,Bot Check,Bot,
B000185HA4,de,Bot Check,Bot,
B0001YM0CQ,de,Bot Check,Bot,
B0002088KW,de,Bot Check,Bot,
B0002JZMGQ,de,Bot Check,Bot,
B0002TMZH0,de,Bot Check,Bot,
B000620IWC,de,Bot Check,Bot,
B00068XALC,de,Bot Check,Bot,
B00096ZORY,de,Bot Check,Bot,
B00096ZQ6S,de,Bot Check,Bot,
B000A6AQFI,de,Bot Check,Bot,
B000ACKV2K,de,Bot Check,Bot,
B000AMPYPO,de,Bot Check,Bot,
B000BDETD0,de,Bot Check,Bot,
B000BW6GRI,de,Telekom SDA music Mobiltelefon Tri Band + Organizer,DeutscheTelekom,249.9
B000BYY1RS,de,Bot Check,Bot,
B000BYZOPG,de,Bot Check,Bot,
B000COKT0K,de,Bot Check,Bot,
B000E81U9S,de,Bot Check,Bot,
B000E9QDUS,de,Bot Check,Bot,
B000EHMNWC,de,Bot Check,Bot,
B000EN3PVY,de,Bot Check,Bot,
B000EOTT8G,de,Bot Check,Bot,
B000FCUX7S,de,Bot Check,Bot,
B000FE5EHU,de,Bot Check,Bot,
B000FE93GS,de,Bot Check,Bot,
B000FFL3PG,de,Bot Check,Bot,
B000FG9Z6Y,de,Bot Check,Bot,
B000G5SI1M,de,Bot Check,Bot,
B000GLHTIY,de,Bot Check,Bot,
B000GLHTVQ,de,Bot Check,Bot,
B000GLIYJC,de,Bot Check,Bot,
B000GSMQH6,de,Bot Check,Bot,
B000HAEQKS,de,Bot Check,Bot,
B000HDCC9C,de,Bot Check,Bot,
B000JKLHAS,de,Nokia 7373 MP3 Handy black-chrome,Microsoft,
B000JKNI3W,de,Bot Check,Bot,
B000JKPLBY,de,Bot Check,Bot,
B000KMZNDW,de,Bot Check,Bot,
B000KPSD5O,de,Bot Check,Bot,
B000KZ7YMW,de,Bot Check,Bot,
B000N2VNKQ,de,Bot Check,Bot,
B000N965NE,de,Bot Check,Bot,
B000NLTFO8,de,Bot Check,Bot,
B000NTEQ08,de,Bot Check,Bot,
B000OA2TF0,de,Bot Check,Bot,
B000OIBB2E,de,Telekom Ameo D1-Aktion T-Mobile Ameo Net,DeutscheTelekom,499.0
B000P621E2,de,Bot Check,Bot,
B000PH9NNS,de,Bot Check,Bot,
B000SZCEL0,de,Bot Check,Bot,
B000T78HQS,de,Lenovo MOTOKRZR K1 rot,Lenovo,
B000UGMJ7Q,de,Bot Check,Bot,
B000VDBC6M,de,Nokia 6500 classic black Handy,Microsoft,
B000VXLXVG,de,Bot Check,Bot,
B000W6WAL4,de,Bot Check,Bot,
B000W88J4Y,de,Bot Check,Bot,
B000WV6VMI,de,Bot Check,Bot,
B000Y3IH5S,de,T-Mobile MDA Touch,T-Mobile,399.99
B000Y9SH4S,de,Bot Check,Bot,
B000ZGMRQE,de,Bot Check,Bot,
B0011SFL0E,de,Bot Check,Bot,
B0013B82UK,de,Sony Ericsson S500i lila Handy,Sony,
B0013TF6HY,de,Bot Check,Bot,
B0014Z1GAI,de,Bot Check,Bot,
B00157WANW,de,Bot Check,Bot,
B0016Y2KY8,de,Sony Ericsson W760 intence black UMTS Handy ohne,Sony,
B001ANGMSA,de,Bot Check,Bot,
B001AX89EK,de,Bot Check,Bot,
B001AXA056,de,"Apple iPhone 3G Smartphone 3,5 Zoll schwarz",Apple,
B001CFB17S,de,Bot Check,Bot,
B001DEJK6M,de,Bot Check,Bot,
B001DN5030,de,"N96 32GB Pack (EU, Black, 16GB)",N96,
B001E0LPC2,de,Bot Check,Bot,
B001FWYXFA,de,Bot Check,Bot,
B001GCAL5U,de,Bot Check,Bot,
B001GJ0E4G,de,Bot Check,Bot,
B001GOX4OI,de,Bot Check,Bot,
B001KU7NPY,de,Bot Check,Bot,
B001MRZYEC,de,Hyundai MBD-130 Dual SIM schwarz Handy,HyundaiMobile,
B001N2SHI6,de,Bot Check,Bot,
B001NOQ9IE,de,Bot Check,Bot,
B001OD2OAQ,de,Bot Check,Bot,
B001P81VWW,de,Bot Check,Bot,
B001R4BT44,de,Bot Check,Bot,
B001TCUGKC,de,Bot Check,Bot,
B001TONDIM,de,Bot Check,Bot,
B001UHNWPW,de,Bot Check,Bot,
B001V5IX70,de,Bot Check,Bot,
B001V7RK2C,de,Bot Check,Bot,
B001V7RK2M,de,Bot Check,Bot,
B001WG6UM8,de,Bot Check,Bot,
B001XCWHGY,de,Bot Check,Bot,
B0020GTPBW,de,"Samsung F110 2"" 80g Schwarz - Handys 2""",Samsung,
B0021B0VUU,de,Bot Check,Bot,
B0027BKJWE,de,Bot Check,Bot,
B002BWBCLG,de,Bot Check,Bot,
B002COINI8,de,Bot Check,Bot,
